,Unnamed: 0,oid,expid,hjd,mjd,mag,magerr,catflags,filtercode,ra,dec,chi,sharp,filefracday,field,ccdid,qid,limitmag,magzp,magzprms,clrcoeff,clrcounc,exptime,airmass,programid
79,79,722113400020693,89121690,2458645.71943915,58645.2169097,18.757555,0.0471158549,0,zg,248.0164155,42.511655,1.00300002,0.0659999996,20190611216898,722,0xd,0x4,20.610000600000006,26.141346,0.0370287597,-0.0244985931,2.17789275e-05,30,1.06400001,2
80,80,722113400020693,89124471,2458645.7472394947,58645.244710599996,18.8129635,0.0490353629,0,zg,248.016556,42.511743599999996,0.90200001,0.0689999983,20190611244688,722,0xd,0x4,20.7199993,26.1471672,0.0344696492,-0.0233202651,1.85656936e-05,30,1.02600002,2
81,81,722113400020693,89220296,2458646.7054723115,58646.202962999996,18.8628254,0.05083986,0,zg,248.01656880000002,42.5117092,0.968999982,0.0439999998,20190612202940,722,0xd,0x4,20.7999992,26.0884228,0.0356159955,-0.0221472792,1.93657906e-05,30,1.08700001,2
82,82,722113400020693,89232188,2458646.824393459,58646.321886599995,18.8502693,0.0503784306,0,zg,248.0165701,42.5117251,0.69599998,0.0430000015,20190612321875,722,0xd,0x4,20.8500004,26.0597534,0.0326275267,-0.0249928366,1.66630143e-05,30,1.03100002,2
83,83,722113400020693,89241710,2458646.9196113325,58646.417106500005,18.9298649,0.0533855036,0,zg,248.01661049999998,42.5117181,0.88499999,0.075000003,20190612417106,722,0xd,0x4,21.3899994,26.0617638,0.031341455899999995,-0.036874298,1.34728534e-05,30,1.301,2
84,84,722113400020693,89322100,2458647.7234947705,58647.2210069,18.9452267,0.0539886393,0,zg,248.0165331,42.511689600000004,0.94599998,-0.0439999998,20190613220995,722,0xd,0x4,20.860000600000006,26.1502914,0.0294602923,-0.0241571423,1.37761926e-05,30,1.04900002,2
85,85,722113400020693,89322380,2458647.7262957096,58647.2238079,18.9731293,0.0551035516,0,zg,248.0165221,42.511708299999995,0.537,0.0430000015,20190613223796,722,0xd,0x4,20.8199997,26.1614456,0.03137476,-0.0318272337,1.52830107e-05,30,1.04499996,1
86,86,722113400020693,89334730,2458647.849788365,58647.3473032,18.977466600000003,0.0552790985,0,zg,248.016537,42.5116937,0.460999995,0.0560000017,20190613347292,722,0xd,0x4,20.7999992,26.1880665,0.0347766094,-0.0484504476,1.87304195e-05,30,1.07500005,2
87,87,722113400020693,89432240,2458648.8248713124,58648.3224074,19.0360622,0.05771162360000001,0,zg,248.0166045,42.5117277,1.06799996,0.008000000379999999,20190614322396,722,0xd,0x4,20.7199993,26.1639271,0.035442076600000004,-0.048458091900000014,2.0753519500000007e-05,30,1.03799999,2
88,88,722113400020693,89434589,2458648.8483545883,58648.34589119999,18.9868355,0.0556604117,0,zg,248.01653059999998,42.5116929,0.456,-0.0719999969,20190614345856,722,0xd,0x4,20.6399994,26.1453056,0.0369944535,-0.032080035699999995,2.33068822e-05,30,1.07700002,2
89,89,722113400020693,89436274,2458648.8652061075,58648.3627431,18.9395294,0.0537640825,0,zg,248.0165792,42.511708899999995,0.966000021,-0.0480000004,20190614362720,722,0xd,0x4,20.5799999,26.126634600000006,0.0368537009,-0.0312334951,2.36689357e-05,30,1.11600006,2
90,90,722113400020693,89520478,2458649.707224239,58649.2047801,19.0316315,0.0575236864,0,zg,248.01655010000002,42.511695,0.760999978,0.0599999987,20190615204757,722,0xd,0x4,20.3700008,26.089489,0.0393408462,-0.017641779,2.99874064e-05,30,1.06700003,2
91,91,722113400020693,89534038,2458649.842822961,58649.3403819,19.1137333,0.0611148998,0,zg,248.01656129999998,42.5117472,0.602999985,-0.00499999989,20190615340289,722,0xd,0x4,20.3799992,26.1183128,0.0366911776,-0.026739547,2.63301772e-05,30,1.07200003,2
92,92,722113400020693,89539447,2458649.8969190014,58649.3944792,19.0556984,0.0585524812,0,zg,248.0165395,42.5117571,0.620000005,-0.115999997,20190615394479,722,0xd,0x4,20.3899994,26.0906639,0.0373266302,-0.0152890654,2.67348532e-05,30,1.23300004,2
93,93,722113400020693,89619502,2458650.6974444627,58650.195023099994,19.1186237,0.0613361634,0,zg,248.0165712,42.5117652,0.5299999710000001,0.0320000015,20190616195000,722,0xd,0x4,20.3099995,26.1312122,0.0400933884,-0.0222869236,3.19315805e-05,30,1.08099997,2
94,94,722113400020693,89621811,2458650.720534237,58650.218113400006,19.1245174,0.0616039671,0,zg,248.0165329,42.511731299999994,0.665000021,-0.0820000023,20190616218090,722,0xd,0x4,20.3199997,26.131935100000003,0.0380498469,-0.0166586619,2.95788686e-05,30,1.04100001,1
95,95,722113400020693,89621903,2458650.7214602125,58650.219039400006,19.0904884,0.0600745752,0,zg,248.0164913,42.51175670000001,0.344999999,-0.0209999997,20190616219028,722,0xd,0x4,20.3999996,26.147665,0.0405997597,-0.0245743394,3.30356779e-05,30,1.03999996,2
